PL031010	支付转账
PL031020	代发工资
PL031030	财务报销
PL031040	付款计划管理
PL031050	应付账单
PL033010	收款人信息维护
PL031060	内部转账
PL031070	其它代付
PL031100	批量支付转账
PL031080	附属账户支付转账
PL093010	附属账户内部转账
PL099000	加密支付转账
PL031090	代理支付
PL061010	定期存款开立
PL061020	定期存款提前支取
PL062010	通知存款开立
PL062020	支取通知
PL062030	取消支取通知
PL062050	通知存款提前支取
PL063020	银行转证券
PL063030	证券转银行
PL065030	理财通定期存款管理
PL065040	理财通通知存款管理
PL064010	理财产品购买
PL064020	理财产品撤单
PL064030	理财产品赎回
PL064060	客户交割单打印
PL064070	理财产品凭单打印
PL065140	组合型利息凭证打印
PL065240	靠档型利息凭证打印
PL081010	授信业务
PL081030	保证金开立
PL066010	电子委贷放款
PL066020	电子委贷还款
CB180110	出票信息登记
CB180190	未用退回
CB180120	提示承兑申请
CB180130	提示承兑撤销
CB180150	提示承兑签收
CB183100	承兑协议确认
CB180160	提示收票申请
CB180170	提示收票撤销
CB180180	提示收票签收
CB180310	保证申请
CB180320	保证撤消
CB180330	保证签收
CB180510	背书转让申请
CB180520	背书转让撤销
CB180530	背书转让签收
CB180610	质押申请
CB180620	质押撤销
CB180630	质押签收
CB180640	质押解除申请
CB180650	质押解除撤销
CB180660	质押解除签收
CB180710	贴现申请
CB180720	贴现撤销
CB180730	贴现签收
CB180740	贴现赎回申请
CB180750	贴现赎回撤销
CB180760	贴现赎回签收
CB183200	贴现协议确认
CB180810	转贴现申请
CB180820	转贴现撤销
CB180830	转贴现签收
CB180840	转贴现赎回申请
CB180850	转贴现赎回撤销
CB180860	转贴现赎回签收
CB180910	再贴现申请
CB180920	再贴现撤销
CB180930	再贴现赎回签收
CB180940	买入央行卖出商业汇票
CB181010	提示付款申请
CB181020	提示付款撤销
CB181030	提示付款签收
CB181110	追索通知
CB181120	追索撤销
CB181130	同意清偿申请
CB181140	同意清偿撤销
CB181150	同意清偿签收
CB182110	自动收票功能设置
CB182120	自动提示付款设置
CB182130	对手方信息维护
CB200110	代保管存票
CB200120	代保管取票
CB200130	代保管票据贴现
CB200140	代保管票据冻结
CB200150	代保管票据解冻
CB200160	代保管票据质押
CB200410	票据托收维护
CB290110	签发申请
CB200190	质押解除
PL211010	池内转账
PL213010	手动归集
PL214010	手动下拨
PL216010	额度管理
PL21B010	集中支付
PL21C010	通道转账
PL21D010	轧差净额结算付
PL21D020	轧差净额结算收
